Date,Delta,Mariposa,Moulton_W,Colusa_W,Tisdale_W,Fremont_W,Sac_W,Knights_C,Bypass 1,Bypass 2,Bypass 3,KNGN,Chowby 
10/1/1921,0.5,1,0,0,0,0,0,0,0,0,0,0,122329
11/1/1921,0.5,1,0,0,0,0,0,0,0,0,0,0,122329
12/1/1921,0.5,1,0,0,509700.7302,0,0,0,0,0,0,0,122329
1/1/1922,0.5,1,0,0,0,0,0,0,0,0,0,0,122329
2/1/1922,0.5,1,0,0,5092029.756,0,0,0,0,0,0,0,122329
3/1/1922,0.5,1,0,0,704820.5409,0,0,0,0,0,0,0,122329
4/1/1922,0.5,1,0,0,1329071.201,0,0,205738.576,0,0,0,0,122329
5/1/1922,0.5,1,0,0,0,0,0,199101.8477,0,0,0,1550844.112,122329
6/1/1922,0.5,1,0,0,0,0,0,123443.1456,0,0,0,1695285.866,122329
7/1/1922,0.5,1,0,0,0,0,0,119461.1086,0,0,0,576240.5677,122329
8/1/1922,0.5,1,0,0,0,0,0,119461.1086,0,0,0,0,122329
9/1/1922,0.5,1,0,0,0,0,0,82295.43039,0,0,0,0,122329
10/1/1922,0.5,1,0,0,0,0,0,0,0,0,0,0,122329
11/1/1922,0.5,1,0,0,0,0,0,0,0,0,0,0,122329
12/1/1922,0.5,1,0,0,668982.2084,0,0,0,0,0,0,0,122329
1/1/1923,0.5,1,0,0,521646.841,0,0,0,0,0,0,0,122329
2/1/1923,0.5,1,0,0,0,0,0,0,0,0,0,0,122329
3/1/1923,0.5,1,0,0,0,0,0,0,0,0,0,0,122329
4/1/1923,0.5,1,0,0,818839.5324,0,0,205738.576,0,0,0,553848.2465,122329
5/1/1923,0.5,1,0,0,0,0,0,199101.8477,0,0,0,1187244.318,122329
6/1/1923,0.5,1,0,0,0,0,0,123443.1456,0,0,0,775593.2837,122329
7/1/1923,0.5,1,0,0,0,0,0,119461.1086,0,0,0,459646.5257,122329
8/1/1923,0.5,1,0,0,0,0,0,119461.1086,0,0,0,0,122329
9/1/1923,0.5,1,0,0,0,0,0,82295.43039,0,0,0,0,122329
10/1/1923,0.5,1,0,0,0,0,0,0,0,0,0,0,122329
11/1/1923,0.5,1,0,0,0,0,0,0,0,0,0,0,122329
12/1/1923,0.5,1,0,0,0,0,0,0,0,0,0,0,122329
1/1/1924,0.5,1,0,0,0,0,0,0,0,0,0,0,122329
2/1/1924,0.5,1,0,0,881128.6599,0,0,0,0,0,0,0,122329
3/1/1924,0.5,1,0,0,0,0,0,0,0,0,0,0,122329
4/1/1924,0.5,1,0,0,0,0,0,205738.576,0,0,0,275854.2827,122329
5/1/1924,0.5,1,0,0,0,0,0,199101.8477,0,0,0,403260.8824,122329
6/1/1924,0.5,1,0,0,0,0,0,123443.1456,0,0,0,0,122329
7/1/1924,0.5,1,0,0,0,0,0,119461.1086,0,0,0,0,122329
8/1/1924,0.5,1,0,0,0,0,0,119461.1086,0,0,0,0,122329
9/1/1924,0.5,1,0,0,0,0,0,82295.43039,0,0,0,0,122329
10/1/1924,0.5,1,0,0,0,0,0,0,0,0,0,0,122329
11/1/1924,0.5,1,0,0,0,0,0,0,0,0,0,0,122329
12/1/1924,0.5,1,0,0,0,0,0,0,0,0,0,0,122329
1/1/1925,0.5,1,0,0,0,0,0,0,0,0,0,0,122329
2/1/1925,0.5,1,0,0,21827393.35,55990283.89,0,8156064.976,0,0,0,0,122329
3/1/1925,0.5,1,0,0,1007455.349,358383.3259,0,477844.4345,0,0,0,0,122329
4/1/1925,0.5,1,0,0,4468641.87,0,0,822954.3039,0,0,0,516280.3826,122329
5/1/1925,0.5,1,0,0,0,0,0,199101.8477,0,0,0,953618.2099,122329
6/1/1925,0.5,1,0,0,0,0,0,123443.1456,0,0,0,747036.7694,122329
7/1/1925,0.5,1,0,0,0,0,0,119461.1086,0,0,0,0,122329
8/1/1925,0.5,1,0,0,0,0,0,119461.1086,0,0,0,0,122329
9/1/1925,0.5,1,0,0,0,0,0,82295.43039,0,0,0,0,122329
10/1/1925,0.5,1,0,0,0,0,0,0,0,0,0,0,122329
11/1/1925,0.5,1,0,0,0,0,0,0,0,0,0,0,122329
