Month,Year,YYYYMM,SACR_205,COWC_211,BATT_220,COTT_NF,COTT_MF,COTT_SF,PAYS_225,ANTL_233,MILL_243,ELDE_237,THOM_248,DEER_256,STON_263,STON_NF,STON_SF,BIGC_269,BUTT_283,FEAT_341,YUBA_349,BEAR_357,CACH_390,CACH_Low,AMER_374,PUTA_400,CONS_188,DRYC_182,MOKE_173,CALV_161,STAN_146,TUOL_135,ORIS_128,MERC_116,BEAR_105,DEAD_093,"CHOW_080,MADC_080","FRES_069,MADC_069",SANJ_054,KING_023,KAWE_420,TULE_010,KERN_001,FKWI_024,FKWT_011,FKWK_421,"CVCK_004,FKCK_004",LOSG_999,WHIT_999,CLEA_999,DELP_999,CANT_999,PANO_999,LPAN_999,LBAN_999,HOSP_999,INGR_999,DMC,Cal_Aq,Deer,Poso,Zapato,Honcut,Mendota
10,1921,192110,9238325.734,298652.7716,625179.8019,17162.57927,17162.57927,9596.70906,24051.50321,262495.876,274760.5499,19910.18477,7844.6128,419467.7728,67694.62823,48341.92863,303630.3178,139371.2934,474021.6791,3951813.294,810503.8017,60407.5006,80238.04463,169077.2891,975957.4372,0,17680.24408,0,287463.2477,0,31577.55305,384704.5902,0,124120.0919,0,0,0,3982.036955,1045005.958,554817.2089,100148.2294,13379.64417,524951.9317,0,0,0,0,0,836.2277604,71835.94666,0,0,0,0,0,0,0,0,0,1752.09626,0,0,80835.35018,0
11,1921,192111,9752008.502,925823.5919,802380.4463,55384.82465,55384.82465,58470.90329,53903.50691,254292.8799,263345.3773,41147.7152,44316.08927,478383.3369,41147.7152,0,127557.9171,131672.6886,489822.4017,3993426.908,1114444.718,59376.15303,15759.57492,30778.49097,1922297.811,0,46990.69075,0,186563.7407,3374.112646,352594.7715,354281.8278,0,143235.1966,0,0,0,12344.31456,948043.3581,498751.4559,101593.7088,32095.21785,533274.3889,0,0,0,0,0,1275.579171,199237.237,0,0,0,0,0,0,0,0,0,2674.601488,0,0,121385.7598,0
12,1921,192112,13339823.8,1975090.329,1158772.754,302156.9641,302156.9641,316571.9379,287662.3496,721863.6591,744640.9105,159281.4782,738229.831,1356321.607,358383.3259,0,151317.4043,378293.5107,1229493.73,7585342.374,4752083.261,1135039.814,215667.1215,199340.7699,5398845.703,1376510.534,550397.1479,90670.98145,432170.4707,544782.4757,994075.7053,2076512.811,119461.1086,1751140.571,318562.9564,254850.3651,464225.8682,414131.8433,2524372.507,2233484.707,520770.7929,226498.262,863066.6895,0,0,0,0,31617.37342,35917.97333,1188876.953,0,10711.67941,7526.049844,19511.98108,119461.1086,0,0,0,0,416600.7062,0,19671.26256,372320.4552,0
1,1922,192201,12025751.6,3105988.825,1453443.488,169754.2354,169754.2354,177638.6685,252859.3466,549600.7405,565449.2475,119461.1086,987943.3684,1035210.147,318562.9564,0,115479.0717,286706.6607,1012233.794,7352711.775,4853704.844,924987.3642,142994.947,60088.93764,4688808.694,340344.6985,701714.5521,100745.5349,763197.2027,596708.2376,1362095.561,2671230.03,398203.6955,1595642.028,278742.5868,222994.0695,398124.0547,310598.8825,2703086.325,2739840.527,689489.6987,329792.3006,1221290.734,0,0,0,0,51965.58226,22976.35323,1392797.066,0,17600.60334,12423.9553,32254.49933,398203.6955,0,0,0,0,116235.6587,0,32334.14007,325730.6229,0
2,1922,192202,24115500.23,3138982.845,1472500.38,957345.6809,957345.6809,1044196.751,877416.2441,1671067.497,1723795.354,352694.7017,1059186.276,3158866.009,2292515.561,0,925823.5919,872919.3867,2738850.706,17217585.43,14912593.29,6933669.227,3332303.628,1579014.179,16375306.39,5797948.201,4608000.364,780777.8959,2600241.688,4794090.906,4622681.281,7316210.718,0,7198454.775,1278518.294,1022814.635,1820654.137,1591534.841,4233394.504,3959174.374,1173547.533,663550.9944,1492074.935,0,0,0,0,257643.4796,106954.6683,1537748.899,0,87424.19918,61721.57279,160476.0893,0,0,0,0,0,595304.5696,0,160343.8288,1006502.505,0
3,1922,192203,24290425.42,2261796.99,1341946.454,722222.0424,722222.0424,744322.3475,526704.028,1107404.477,1138862.569,278742.5868,787407.9874,2088697.844,1077140.996,0,537574.9889,577395.3584,1910899.894,17837016.87,10925594.43,4036272.298,2271592.801,362564.4647,13461634.31,1414220.424,2778983.95,272012.9444,2249173.933,1667876.178,2613012.65,5198788.166,0,4666748.209,696856.467,557485.1736,1002876.007,1138862.569,4110975.311,3893038.429,1227900.915,581735.7787,2088538.562,0,0,0,0,90352.4185,83662.59641,1227223.969,0,30661.68455,21622.46066,56146.72106,0,0,0,0,0,334212.3616,0,56226.3618,602083.9875,0
4,1922,192204,32095217.85,1658252.922,1357874.601,791435.1541,791435.1541,718562.5505,420282.763,1288417.258,1333185.972,329181.7216,2406112.646,2439894.92,1532752.391,201952.9862,1495349.118,674822.5292,2158279.957,34033563.27,17044412.33,2614566.971,1472265.25,387158.8523,20060210.67,605735.5154,3452334.453,187386.695,4382725.441,1188469.458,4922130.84,6776082.295,0,5107501.296,370329.4368,296263.5494,521506.1424,839413.39,7955046.631,6711233.496,2076766.334,775675.5792,3474348.48,0,0,0,0,32671.28587,79661.97662,3644782.317,0,11068.73539,7776.918172,20162.38045,0,0,0,0,0,214297.3007,0,20326.97131,631617.4283,0
5,1922,192205,25047012.44,1063203.867,1314072.195,509143.245,509143.245,444952.8093,275158.7536,1714426.19,1772006.445,159281.4782,1606672.27,3247470.598,1033338.59,545499.2424,2235117.343,895958.3148,2858943.252,58518183.35,33747245.52,1448704.864,824042.7274,498750.1286,40522004.46,158923.0949,3878344.712,60447.32097,12651170.33,363360.8721,15328811.44,21536607.95,0,16571167.15,139371.2934,111497.0347,203482.0884,716766.6518,24631486.89,26492332.58,6182351.294,1280782.366,9646922.546,0,0,0,0,6769.462823,85534.15378,1875499.585,0,2269.761064,1592.814782,4380.24065,0,0,0,0,0,210331.1919,0,4181.138802,575006.1362,0
6,1922,192206,13907927.74,370329.4368,991659.9362,200471.6684,200471.6684,227999.4899,62667.97024,1017171.52,1053381.509,41147.7152,195863.1243,1931432.604,283919.2349,413616.8332,1676645.951,534920.2976,1801117.79,27153418.41,27246206.5,0,2553215.728,467026.5675,27594151.58,35757.36451,1344954.219,0,11517533.52,97931.56217,12180340.91,24611888.63,0,16441392.56,41147.7152,32918.17216,63408.62912,185164.7184,30213985.46,29038724.42,4882217.556,563147.6302,8329655.43,0,0,0,0,2304.272051,24770.92455,453242.0829,0,781.8065887,493.7725824,1645.908608,0,0,0,0,0,57318.76727,0,1440.170032,98343.03932,0
7,1922,192207,9556888.691,95568.88691,649072.0236,59531.45247,59531.45247,76733.85211,5335.929519,336322.8412,350419.252,19910.18477,44558.99352,634059.7443,246886.2912,1548614.172,5055952.501,175209.626,715970.2444,6593695.711,3765055.761,104130.2664,1650076.473,623308.2445,3905303.102,1672.455521,168201.241,0,1560878.845,15529.94412,841523.8696,2569887.189,0,3415592.198,0,0,4818.264715,87604.813,10760977.03,9015212.204,1238931.158,91825.77217,3528244.023,0,0,0,0,0,8441.918344,462672.8737,0,0,0,0,0,0,0,0,0,16206.8904,0,0,24688.62912,0
