location,us_name,ds_name
Above Hwy 36,Headwaters,Hwy 36
Hwy 36 to Little Hole-in-Ground,Hwy 36,Little HIG
Litte Hole-in-Ground to Hole-in-Ground,Little HIG,HIG
Hole-in-Ground to Ishi Trail Head,HIG,Mill Trail
Ishi Trail Head to Big Bend,Mill Trail,Big Bend
Big Bend to Canyon Camp,Big Bend,Canyon Camp
Canyon Camp to Sooner,Canyon Camp,Sooner Place
Sooner to McCarthy,Sooner Place,McCarthy Place
McCarthy to Savercool,McCarthy Place,Savercool Place
Savercool to Black Rock,Savercool Place,Blackrock Thermo
Black Rock to below Ranch House,Blackrock Thermo,Below Ranchhouse
Ranch House to above Avery,Below Ranchhouse,Avery Place
Below Ranch House to above Avery,Below Ranchhouse,Avery Place
Above Avery to Pape,Avery Place,Pape Place
Pape to Buckhorn Gulch,Pape Place,Buckhorn Gulch
Buckhorn Gulch to Upper Dam (aerial survey),Buckhorn Gulch,Power Lines
